Accession	Gene_name	Protein_name
O76081	RGS20;RGSZ1;ZGAP1	Regulator of G-protein signaling 20
O76095	JTB;HSPC222	Protein JTB
O88386	RAB10	Ras-related protein Rab-10
O94760	DDAH1;DDAH	N(G),N(G)-dimethylarginine dimethylaminohydrolase 1
O94766	B3GAT3	Galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase 3
O94769	ECM2	Extracellular matrix protein 2
O94772	LY6H	Lymphocyte antigen 6H
O94808	GFPT2	Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 2
O94826	TOMM70A;KIAA0719;TOM70	Mitochondrial import receptor subunit TOM70
O94832	MYO1D;KIAA0727	Unconventional myosin-Id
O94848	NA	Extended synaptotagmin-1
O94851	MICAL2;KIAA0750;MICAL2PV1;MICAL2PV2	Protein-methionine sulfoxide oxidase MICAL2
O94854	KIAA0754	Uncharacterized protein KIAA0754
O94856	NFASC;KIAA0756	Neurofascin
O94861	NA	Chloride channel CLIC-like protein 1
O94874	UFL1;KIAA0776;NLBP	E3 UFM1-protein ligase 1
O94886	TMEM63A;KIAA0489;KIAA0792	CSC1-like protein 1
O94901	SUN1;KIAA0810;UNC84A	SUN domain-containing protein 1
O94903	PROSC	Proline synthase co-transcribed bacterial homolog protein
O94905	ERLIN2;C8orf2;SPFH2;UNQ2441/PRO5003/PRO9924	Erlin-2
O94905-1	ERLIN2 	Erlin-2
O94906	PRPF6;C20orf14	Pre-mRNA-processing factor 6
O94915	FRYL;AF4P12;KIAA0826	Protein furry homolog-like
O94919	ENDOD1;KIAA0830	Endonuclease domain-containing 1 protein
O94925	GLS;GLS1;KIAA0838	Glutaminase kidney isoform, mitochondrial
O94935	NA	Phosphatidylinositide phosphatase SAC1
O94947	NA	DENN domain-containing protein 3
O94963	NA	FAS-associated factor 2
O94973	AP2A2;ADTAB;CLAPA2;HIP9;HYPJ;KIAA0899	AP-2 complex subunit alpha-2
O94979	SEC31A;KIAA0905;SEC31L1;HSPC275;HSPC334	Protein transport protein Sec31A
O94980	NA	Nuclear pore membrane glycoprotein 210
O95049-1	TJP3 	Tight junction protein ZO-3
O95070	YIF1A;54TM;HYIF1P;YIF1	Protein YIF1A
O95071	UBR5;EDD;EDD1;HYD;KIAA0896	E3 ubiquitin-protein ligase UBR5
O95139	NDUFB6	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 6
O95140	MFN2;CPRP1;KIAA0214	Mitofusin-2
O95163	IKBKAP;ELP1;IKAP	Elongator complex protein 1
O95167	NDUFA3	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 3
O95168	NDUFB4	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 4
O95169	NDUFB8	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 8, mitochondrial
O95182	NDUFA7	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 7
O95183	VAMP5;HSPC191	Vesicle-associated membrane protein 5
O95186	NA	Long-chain fatty acid transport protein 4
O95197	RTN3;ASYIP;NSPL2	Reticulon-3
O95202	LETM1	LETM1 and EF-hand domain-containing protein 1, mitochondrial
O95202-1	LETM1 	LETM1 and EF-hand domain-containing protein 1, mitochondrial
O95218	ZRANB2;ZIS;ZNF265	Zinc finger Ran-binding domain-containing protein 2
O95239	KIF4A;KIF4	Chromosome-associated kinesin KIF4A
O95248	SBF1;MTMR5	Myotubularin-related protein 5
O95249	GOSR1;GS28	Golgi SNAP receptor complex member 1
O95292	VAPB;UNQ484/PRO983	Vesicle-associated membrane protein-associated protein B/C
O95294	RASAL1;RASAL	RasGAP-activating-like protein 1
O95295	SNAPIN;BLOC1S7;SNAP25BP;SNAPAP	SNARE-associated protein Snapin
O95297	MPZL1;PZR;UNQ849/PRO1787	Myelin protein zero-like protein 1
O95298	NDUFC2;HLC1	NADH dehydrogenase [ubiquinone] 1 subunit C2
O95299	NDUFA10	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial
O95302	FKBP9;FKBP60;FKBP63	Peptidyl-prolyl cis-trans isomerase FKBP9
O95336	PGLS	6-phosphogluconolactonase
O95347	SMC2;CAPE;SMC2L1;PRO0324	Structural maintenance of chromosomes protein 2
O95357	GPRC5A; GPCR5A; RAI3; RAIG1	Retinoic acid-induced protein 3
O95372	LYPLA2;APT2	Acyl-protein thioesterase 2
O95373	IPO7;RANBP7	Importin-7
O95379	TNFAIP8	Tumor necrosis factor alpha-induced protein 8
O95406	CNIH1;CNIH;CNIL;UNQ155/PRO181	Protein cornichon homolog 1
O95425	SVIL	Supervillin
O95425-2	SVIL	Isoform 2 of Supervillin
O95427	PIGN;MCD4	GPI ethanolamine phosphate transferase 1
O95433	AHSA1;C14orf3;HSPC322	Activator of 90 kDa heat shock protein ATPase homolog 1
O95434	NA	Spermatogenesis-defective protein 39 homolog
O95445	APOM;G3A;NG20;HSPC336	Apolipoprotein M
O95466	FMNL1;C17orf1;C17orf1B;FMNL	Formin-like protein 1
O95470	SGPL1;KIAA1252	Sphingosine-1-phosphate lyase 1
O95490	LPHN2;KIAA0786;LEC1;LPHH1	Latrophilin-2
O95497	VNN1	Pantetheinase
O95498	VNN2	Vascular non-inflammatory molecule 2
O95544	NADK	NAD kinase
O95563	MPC2;BRP44	Mitochondrial pyruvate carrier 2
O95573	ACSL3;ACS3;FACL3;LACS3	Long-chain-fatty-acid--CoA ligase 3
O95602	POLR1A	DNA-directed RNA polymerase I subunit RPA1
O95613	PCNT;KIAA0402;PCNT2	Pericentrin
O95674	CDS2	Phosphatidate cytidylyltransferase 2
O95678	KRT75;K6HF;KB18	Keratin, type II cytoskeletal 75
O95714	HERC2	E3 ubiquitin-protein ligase HERC2
O95716	RAB3D;GOV;RAB16	Ras-related protein Rab-3D
O95721	SNAP29	Synaptosomal-associated protein 29
O95747	OXSR1;KIAA1101;OSR1	Serine/threonine-protein kinase OSR1
O95770	NA	Tax1-binding protein 1
O95772	STARD3NL;MENTHO;UNQ855/PRO1864	MLN64 N-terminal domain homolog
O95777	LSM8	U6 snRNA-associated Sm-like protein LSm8
O95782	AP2A1;ADTAA;CLAPA1	AP-2 complex subunit alpha-1
O95801	TTC4;My044	Tetratricopeptide repeat protein 4
O95807	TMEM50A;SMP1;UNQ386/PRO718	Transmembrane protein 50A
O95810	SDPR	Serum deprivation-response protein
O95816	BAG2	BAG family molecular chaperone regulator 2
O95819	MAP4K4;HGK;KIAA0687;NIK	Mitogen-activated protein kinase kinase kinase kinase 4
O95831	AIFM1;AIF;PDCD8	Apoptosis-inducing factor 1, mitochondrial
O95831-3	AIFM1	Isoform 3 of Apoptosis-inducing factor 1, mitochondrial
O95832	CLDN1;CLD1;SEMP1;UNQ481/PRO944	Claudin-1
O95837	GNA14	Guanine nucleotide-binding protein subunit alpha-14
O95861	BPNT1	3'(2'),5'-bisphosphate nucleotidase 1
O95864	FADS2	Fatty acid desaturase 2
O95865	DDAH2;DDAH;G6A;NG30	N(G),N(G)-dimethylarginine dimethylaminohydrolase 2
O95870	ABHD16A;BAT5;G5;NG26;PP199	Abhydrolase domain-containing protein 16A
O95881	TXNDC12;TLP19;UNQ713/PRO1376	Thioredoxin domain-containing protein 12
O95966	NA	G-protein coupled receptor 56
O95980	RECK;ST15	Reversion-inducing cysteine-rich protein with Kazal motifs
O95996	APC2;APCL	Adenomatous polyposis coli protein 2
O96000	NDUFB10	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 10
O96005	CLPTM1	Cleft lip and palate transmembrane protein 1
O96005-1	CLPTM1 	Cleft lip and palate transmembrane protein 1
O96008	TOMM40;C19orf1;PEREC1;TOM40	Mitochondrial import receptor subunit TOM40 homolog
O96008-1	TOMM40 	Mitochondrial import receptor subunit TOM40 homolog
O96011	PEX11B	Peroxisomal membrane protein 11B
P00167	CYB5A;CYB5	Cytochrome b5
P00167-2	CYB5A	Isoform 2 of Cytochrome b5
P00338	LDHA;PIG19	L-lactate dehydrogenase A chain
P00354	GAPDH; GAPD	Glyceraldehyde-3-phosphate dehydrogenase
P00367	GLUD1;GLUD	Glutamate dehydrogenase 1, mitochondrial
P00387	CYB5R3;DIA1	NADH-cytochrome b5 reductase 3
P00387-2	CYB5R3	Isoform 2 of NADH-cytochrome b5 reductase 3
P00403	MT-CO2;COII;COXII;MTCO2	Cytochrome c oxidase subunit 2
P00428	COX5B	Cytochrome c oxidase subunit 5B, mitochondrial
P00441	SOD1	Superoxide dismutase
P00450	CP	Ceruloplasmin
P00451	F8;F8C	Coagulation factor VIII
P00491	PNP;NP	Purine nucleoside phosphorylase
P00492	HPRT1;HPRT	Hypoxanthine-guanine phosphoribosyltransferase
P00505	GOT2	Aspartate aminotransferase, mitochondrial
P00533	EGFR;ERBB;ERBB1;HER1	Epidermal growth factor receptor
P00533-4	EGFR	Isoform 4 of Epidermal growth factor receptor
P00540	MOS	Proto-oncogene serine/threonine-protein kinase mos
P00558	PGK1;PGKA;MIG10;OK/SW-cl.110	Phosphoglycerate kinase 1
P00568	AK1	Adenylate kinase isoenzyme 1
P00695	NA	Lysozyme C
P00734	F2	Prothrombin
P00749	PLAU	Urokinase-type plasminogen activator
P00760	NA	Cationic trypsin
P00813	ADA;ADA1	Adenosine deaminase
P00846	MT-ATP6;ATP6;ATPASE6;MTATP6	ATP synthase subunit a
P00915	CA1	Carbonic anhydrase 1
P00918	CA2	Carbonic anhydrase 2
P00966	ASS1;ASS	Argininosuccinate synthase
P01023	A2M;CPAMD5;FWP007	Alpha-2-macroglobulin
P01028	NA	Tubulin alpha-1A chain
P01111	NRAS;HRAS1	GTPase NRas
P01112	HRAS;HRAS1	GTPase HRas
P01116	KRAS;KRAS2;RASK2	GTPase KRas
P01130	LDLR	Low-density lipoprotein receptor
P01137	TGFB1;TGFB	Transforming growth factor beta-1
P01243	CSH1;CSH2	Chorionic somatomammotropin hormone 1
P01298	PPY;PNP	Pancreatic prohormone
P01591	IGJ;IGCJ	Immunoglobulin J chain
P01621	NA	Ig kappa chain V-III region NG9
P01712	NA	Ig lambda chain V-II region WIN
P01730	CD4	T-cell surface glycoprotein CD4
P01732	CD8A;MAL	T-cell surface glycoprotein CD8 alpha chain
P01733	TRBV12-3;TCRBV8S1	T-cell receptor beta chain V region YT35
P01834	IGKC	Ig kappa chain C region
P01842	NA	Ig lambda-1 chain C regions
P01857	IGHG1	Ig gamma-1 chain C region
P01871	IGHM	Ig mu chain C region
P01884	NA	Beta-2-microglobulin
P01889	HLA-B;HLAB	HLA class I histocompatibility antigen, B-7 alpha chain
P01891	HLA-A;HLAA	HLA class I histocompatibility antigen, A-68 alpha chain
P01892	HLA-A;HLAA	HLA class I histocompatibility antigen, A-2 alpha chain
P01893	HLA-H;HLAH	Putative HLA class I histocompatibility antigen, alpha chain H
P01922	NA	Hemoglobin subunit alpha
P02042	HBD	Hemoglobin subunit delta
P02096	NA	Hemoglobin subunit gamma-1
P02248	UBA52; UBCEP2;UBCEP1	Ubiquitin-60S ribosomal protein L40
P02278	HIST1H2B	Histone H2B type 1
P02304	H4-I;H4-II;H4-III;H4-IV;H4-V;H4-VI;H4-VII;HIST1H4	Histone H4
P02452	COL1A1	Collagen alpha-1
P02511	CRYAB;CRYA2	Alpha-crystallin B chain
P02533	KRT14	Keratin, type I cytoskeletal 14
P02538	KRT6A;K6A;KRT6D	Keratin, type II cytoskeletal 6A
P02545	LMNA;LMN1	Prelamin-A/C
P02549	SPTA1;SPTA	Spectrin alpha chain, erythrocytic 1
P02570	ACTB	Actin, cytoplasmic 1
P02571	NA	Actin, cytoplasmic 2
P02593	NA	Calmodulin-alpha
P02647	APOA1	Apolipoprotein A-I
P02662	CSN1S1	Alpha-S1-casein
P02663	CSN1S2	Alpha-S2-casein
P02671	FGA	Fibrinogen alpha chain
P02675	FGB	Fibrinogen beta chain
P02686	MBP	Myelin basic protein
P02730	SLC4A1;AE1;DI;EPB3	Band 3 anion transport protein
P02748	C9	Complement component C9
P02751	FN1;FN	Fibronectin
P02753	RBP4;PRO2222	Retinol-binding protein 4
P02760	AMBP;HCP;ITIL	Protein AMBP
P02765	AHSG;FETUA;PRO2743	Alpha-2-HS-glycoprotein
P02768	ALB;GIG20;GIG42;PRO0903;PRO1708;PRO2044;PRO2619;PRO2675;UNQ696/PRO1341	Serum albumin
P02769	ALB	Serum albumin
P02771	AFP;HPAFP	Alpha-fetoprotein
P02775	PPBP;CTAP3;CXCL7;SCYB7;TGB1;THBGB1	Platelet basic protein
P02786	TFRC	Transferrin receptor protein 1
P02788	LTF;GIG12;LF	Lactotransferrin ; Kaliocin-1; Lactoferroxin-A; Lactoferroxin-B; Lactoferroxin-C
P02792	FTL	Ferritin light chain
P02794	FTH1;FTH;FTHL6;OK/SW-cl.84;PIG15	Ferritin heavy chain
P03886	MT-ND1;MTND1;NADH1;ND1	NADH-ubiquinone oxidoreductase chain 1
P03891	MT-ND2;MTND2;NADH2;ND2	NADH-ubiquinone oxidoreductase chain 2
P03905	MT-ND4;MTND4;NADH4;ND4	NADH-ubiquinone oxidoreductase chain 4
P03915	MT-ND5;MTND5;NADH5;ND5	NADH-ubiquinone oxidoreductase chain 5
P03928	MT-ATP8;ATP8;ATPASE8;MTATP8	ATP synthase protein 8
P03956	MMP1;CLG	Interstitial collagenase
P03996	ACTA2; ACTSA; ACTVS	Actin, aortic smooth muscle
P04004	VTN	Vitronectin
P04035	HMGCR	3-hydroxy-3-methylglutaryl-coenzyme A reductase
P04040	CAT	Catalase
P04049	RAF1;RAF	RAF proto-oncogene serine/threonine-protein kinase
P04062	GBA;GC;GLUC	Glucosylceramidase
P04075	ALDOA;ALDA	Fructose-bisphosphate aldolase A
P04080	CSTB;CST6;STFB	Cystatin-B
P04083	ANXA1;ANX1;LPC1	Annexin A1
P04114	APOB	Apolipoprotein B-100
P04156	PRNP;PRIP;PRP	Major prion protein
P04179	SOD2	Superoxide dismutase [Mn], mitochondrial
P04181	OAT	Ornithine aminotransferase, mitochondrial
P04216	THY1	Thy-1 membrane glycoprotein
P04233	CD74;DHLAG	HLA class II histocompatibility antigen gamma chain
P04234	CD3D;T3D	T-cell surface glycoprotein CD3 delta chain
P04259	KRT6B;K6B;KRTL1	Keratin, type II cytoskeletal 6B
P04264	KRT1;KRTA	Keratin, type II cytoskeletal 1
P04271	S100B	Protein S100-B
P04275	VWF;F8VWF	von Willebrand factor
P04278	SHBG	Sex hormone-binding globulin
P04350	TUBB4A;TUBB4;TUBB5	Tubulin beta-4A chain
P04389	NA	Ribonuclease mitogillin
P04406	GAPDH;GAPD;CDABP0047;OK/SW-cl.12	Glyceraldehyde-3-phosphate dehydrogenase
P04439	HLA-A;HLAA	HLA class I histocompatibility antigen, A-3 alpha chain
P04632	CAPNS1;CAPN4;CAPNS	Calpain small subunit 1
P04687	NA	Tubulin alpha-1A chain
P04720	EEF1A1; EEF1A; EF1A	Elongation factor 1-alpha 1
P04765	NA	Eukaryotic initiation factor 4A-I
P04792	HSPB1;HSP27;HSP28	Heat shock protein beta-1
P04806	HXK1;HKA;YFR053C	Hexokinase-1
P04818	TYMS;TS;OK/SW-cl.29	Thymidylate synthase
P04839	CYBB;NOX2	Cytochrome b-245 heavy chain
P04843	RPN1	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1
P04844	RPN2	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2
P04895	GNAS; GNAS1; GSP	Guanine nucleotide-binding protein G(s) subunit alpha
P04898	GNAI1	Guanine nucleotide-binding protein G(i) subunit alpha-1
P04899	GNAI2;GNAI2B	Guanine nucleotide-binding protein G
P04899-1	GNAI2 	Guanine nucleotide-binding protein G(i) subunit alpha-2
P04901	GNB1	Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1
P04904	Gsta3;Gstyc1	Glutathione S-transferase alpha-3
P04908	HIST1H2AB;H2AFM;HIST1H2AE;H2AFA	Histone H2A type 1-B/E
P04920	SLC4A2;AE2;EPB3L1;HKB3;MPB3L	Anion exchange protein 2
P04921	GYPC;GLPC;GPC	Glycophorin-C
P05023	ATP1A1	Sodium/potassium-transporting ATPase subunit alpha-1
P05023-1	ATP1A1 	Sodium/potassium-transporting ATPase subunit alpha-1
P05026	ATP1B1;ATP1B	Sodium/potassium-transporting ATPase subunit beta-1
P05026-2	ATP1B1	Isoform 2 of Sodium/potassium-transporting ATPase subunit beta-1
P05067	APP;A4;AD1	Amyloid beta A4 protein ; C31
P05089	ARG1	Arginase-1
P05091	ALDH2;ALDM	Aldehyde dehydrogenase, mitochondrial
P05092	PPIA; CYPA	Peptidyl-prolyl cis-trans isomerase A
P05106	ITGB3;GP3A	Integrin beta-3
P05107	ITGB2;CD18;MFI7	Integrin beta-2
P05109	S100A8;CAGA;CFAG;MRP8	Protein S100-A8
P05121	SERPINE1;PAI1;PLANH1	Plasminogen activator inhibitor 1
P05141	SLC25A5;ANT2	ADP/ATP translocase 2
P05164	MPO	Myeloperoxidase
P05177	CYP1A2	Cytochrome P450 1A2
P05186	ALPL	Alkaline phosphatase, tissue-nonspecific isozyme
P05187	ALPP;PLAP	Alkaline phosphatase, placental type
P05198	EIF2S1;EIF2A	Eukaryotic translation initiation factor 2 subunit 1
P05204	HMGN2;HMG17	Non-histone chromosomal protein HMG-17
P05209	TUBA1A; TUBA3;TUBA1	Tubulin alpha-1B chain
P05213	Tuba1b;Tuba2	Tubulin alpha-1B chain
P05217	TUBB4B; TUBB2C	Tubulin beta-4B chain
P05218	TUBB5; TUBB	Tubulin beta chain
P05362	ICAM1	Intercellular adhesion molecule 1
P05386	RPLP1;RRP1	60S acidic ribosomal protein P1
P05387	RPLP2;D11S2243E;RPP2	60S acidic ribosomal protein P2
P05388	RPLP0	60S acidic ribosomal protein P0
P05413	FABP3;FABP11;MDGI	Fatty acid-binding protein, heart
P05455	SSB	Lupus La protein
P05496	ATP5G1	ATP synthase F
P05556	ITGB1;FNRB;MDF2;MSK12	Integrin beta-1
P05556-1	ITGB1 	Integrin beta-1
P05783	KRT18;CYK18;PIG46	Keratin, type I cytoskeletal 18
P05787	KRT8;CYK8	Keratin, type II cytoskeletal 8
P05814	CSN2;CASB	Beta-casein
P05937	CALB1;CAB27	Calbindin
P05976	MYL1	Myosin light chain 1/3, skeletal muscle isoform
P06127	CD5;LEU1	T-cell surface glycoprotein CD5
P06239	LCK	Tyrosine-protein kinase Lck
P06241	FYN	Tyrosine-protein kinase Fyn
P06366	RPS14; EMTB	40S ribosomal protein S14
P06396	GSN	Gelsolin
P06396-2	GSN	Isoform 2 of Gelsolin
P06454	PTMA;TMSA	Prothymosin alpha
P06493	CDK1;CDC2;CDC28A;CDKN1;P34CDC2	Cyclin-dependent kinase 1
P06576	ATP5B;ATPMB;ATPSB	ATP synthase subunit beta, mitochondrial
P06702	S100A9;CAGB;CFAG;MRP14	Protein S100-A9
P06703	S100A6;CACY	Protein S100-A6
P06709	birA;bioR;dhbB;b3973;JW3941	Bifunctional ligase/repressor BirA
P06729	CD2;SRBC	T-cell surface antigen CD2
P06732	CKM;CKMM	Creatine kinase M-type
P06733	ENO1;ENO1L1;MBPB1;MPB1	Alpha-enolase
P06733-1	ENO1 	Alpha-enolase
P06737	PYGL	Glycogen phosphorylase, liver form
P06744	GPI	Glucose-6-phosphate isomerase
P06748	NPM1;NPM	Nucleophosmin
P06748-2	NPM1	Isoform 2 of Nucleophosmin
P06749	RHOA; ARHA; RHO12	Transforming protein RhoA
P06753	TPM3	Tropomyosin alpha-3 chain
P06756	ITGAV;MSK8;VNRA	Integrin alpha-V
P06861	NA	Alkaline phosphatase, placental type
P06899	HIST1H2BJ;H2BFR	Histone H2B type 1-J
P07093	SERPINE2;PI7;PN1	Glia-derived nexin
P07099	EPHX1;EPHX;EPOX	Epoxide hydrolase 1
P07195	LDHB	L-lactate dehydrogenase B chain
P07196	NEFL;NF68;NFL	Neurofilament light polypeptide
P07203	GPX1	Glutathione peroxidase 1
P07237	P4HB;ERBA2L;PDI;PDIA1;PO4DB	Protein disulfide-isomerase
P07339	CTSD;CPSD	Cathepsin D
P07355	ANXA2;ANX2;ANX2L4;CAL1H;LPC2D	Annexin A2
P07355-1	ANXA2 	Annexin A2
P07359	GP1BA	Platelet glycoprotein Ib alpha chain
P07384	CAPN1;CANPL1;PIG30	Calpain-1 catalytic subunit
P07437	TUBB;TUBB5;OK/SW-cl.56	Tubulin beta chain
P07602	PSAP;GLBA;SAP1	Prosaposin
P07686	HEXB;HCC7	Beta-hexosaminidase subunit beta
P07737	PFN1	Profilin-1
P07741	APRT	Adenine phosphoribosyltransferase
P07766	CD3E;T3E	T-cell surface glycoprotein CD3 epsilon chain
P07814	EPRS;GLNS;PARS;QARS;QPRS;PIG32	Bifunctional glutamate/proline--tRNA ligase
P07858	CTSB;CPSB	Cathepsin B
P07900	HSP90AA1;HSP90A;HSPC1;HSPCA	Heat shock protein HSP 90-alpha
P07910	HNRNPC;HNRPC	Heterogeneous nuclear ribonucleoproteins C1/C2
P07911	UMOD	Uromodulin
P07919	UQCRH	Cytochrome b-c1 complex subunit 6, mitochondrial
P07942	LAMB1	Laminin subunit beta-1
P07947	YES1;YES	Tyrosine-protein kinase Yes
P07948	LYN;JTK8	Tyrosine-protein kinase Lyn
P07951	TPM2;TMSB	Tropomyosin beta chain
P07954	FH	Fumarate hydratase, mitochondrial
P07996	THBS1;TSP;TSP1	Thrombospondin-1
P08069	IGF1R	Insulin-like growth factor 1 receptor
P08107	HSPA1A;HSPA1;HSX70;HSPA1B	Heat shock 70 kDa protein 1A/1B
P08123	COL1A2	Collagen alpha-2
P08133	ANXA6;ANX6	Annexin A6
P08134	RHOC;ARH9;ARHC	Rho-related GTP-binding protein RhoC
P08174	CD55;CR;DAF	Complement decay-accelerating factor
P08183	ABCB1;MDR1;PGY1	Multidrug resistance protein 1
P08195	SLC3A2;MDU1	4F2 cell-surface antigen heavy chain
P08195-2	SLC3A2	Isoform 2 of 4F2 cell-surface antigen heavy chain
P08206	NA	Protein S100-A10
P08237	PFKM;PFKX	ATP-dependent 6-phosphofructokinase, muscle type
P08238	HSP90AB1;HSP90B;HSPC2;HSPCB	Heat shock protein HSP 90-beta
P08240	SRPR	Signal recognition particle receptor subunit alpha
P08247	SYP	Synaptophysin
P08253	MMP2;CLG4A	72 kDa type IV collagenase
P08311	CTSG	Cathepsin G
P08473	MME;EPN	Neprilysin
P08476	INHBA	Inhibin beta A chain
P08514	ITGA2B;GP2B;ITGAB	Integrin alpha-IIb
P08559	PDHA1;PHE1A	Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial
P08567	PLEK;P47	Pleckstrin
P08571	CD14	Monocyte differentiation antigen CD14
P08574	CYC1	Cytochrome c1, heme protein, mitochondrial
P08575	PTPRC;CD45	Receptor-type tyrosine-protein phosphatase C
P08579	SNRPB2	U2 small nuclear ribonucleoprotein B''
P08581	MET	Hepatocyte growth factor receptor
P08582	MFI2;MAP97	Melanotransferrin
P08582-1	MFI2 	Melanotransferrin
P08588	ADRB1;ADRB1R;B1AR	Beta-1 adrenergic receptor
P08621	SNRNP70;RNPU1Z;RPU1;SNRP70;U1AP1	U1 small nuclear ribonucleoprotein 70 kDa
P08631	HCK	Tyrosine-protein kinase HCK
P08648	ITGA5;FNRA	Integrin alpha-5
P08670	VIM	Vimentin
P08708	RPS17	40S ribosomal protein S17
P08727	KRT19	Keratin, type I cytoskeletal 19
P08729	KRT7;SCL	Keratin, type II cytoskeletal 7
P08754	GNAI3	Guanine nucleotide-binding protein G
P08758	ANXA5;ANX5;ENX2;PP4	Annexin A5
P08779	KRT16;KRT16A	Keratin, type I cytoskeletal 16
P08865	RPSA;LAMBR;LAMR1	40S ribosomal protein SA
P08886	RAB2A; RAB2	Ras-related protein Rab-2A
P08922	ROS1;MCF3;ROS	Proto-oncogene tyrosine-protein kinase ROS
P08962	CD63;MLA1;TSPAN30	CD63 antigen
P08F94	PKHD1;FCYT;TIGM1	Fibrocystin
P09001	MRPL3;MRL3;RPML3	39S ribosomal protein L3, mitochondrial
P09058	NA	40S ribosomal protein S8
P09104	ENO2	Gamma-enolase
P09132	SRP19	Signal recognition particle 19 kDa protein
P09172	DBH	Dopamine beta-hydroxylase
P09211	GSTP1;FAEES3;GST3	Glutathione S-transferase P
P09326	CD48;BCM1;BLAST1	CD48 antigen
P09382	LGALS1	Galectin-1
P09417	QDPR;DHPR	Dihydropteridine reductase
P09429	HMGB1;HMG1	High mobility group protein B1
P09455	RBP1;CRBP1	Retinol-binding protein 1
P09471	GNAO1	Guanine nucleotide-binding protein G subunit alpha
P09486	SPARC;ON	SPARC
P09493	TPM1;C15orf13;TMSA	Tropomyosin alpha-1 chain
P09496	CLTA	Clathrin light chain A
P09497	CLTB	Clathrin light chain B
P09525	ANXA4;ANX4	Annexin A4
P09526	RAP1B	Ras-related protein Rap-1b
P09543	CNP	2',3'-cyclic-nucleotide 3'-phosphodiesterase
P09601	HMOX1;HO;HO1	Heme oxygenase 1
P09619	PDGFRB;PDGFR;PDGFR1	Platelet-derived growth factor receptor beta
P09622	DLD;GCSL;LAD;PHE3	Dihydrolipoyl dehydrogenase, mitochondrial
P09651	HNRNPA1;HNRPA1	Heterogeneous nuclear ribonucleoprotein A1
P09651-3	HNRNPA1	Isoform 2 of Heterogeneous nuclear ribonucleoprotein A1
P09661	SNRPA1	U2 small nuclear ribonucleoprotein A'
P09668	CTSH;CPSB	Pro-cathepsin H
P09669	COX6C	Cytochrome c oxidase subunit 6C
P09758	TACSTD2;GA733-1;M1S1;TROP2	Tumor-associated calcium signal transducer 2
P09769	FGR;SRC2	Tyrosine-protein kinase Fgr
P09871	C1S	Complement C1s subcomponent
P09874	PARP1;ADPRT;PPOL	Poly [ADP-ribose] polymerase 1
P09917	ALOX5;LOG5	Arachidonate 5-lipoxygenase
P09936	UCHL1	Ubiquitin carboxyl-terminal hydrolase isozyme L1
P09960	LTA4H;LTA4	Leukotriene A-4 hydrolase
P09972	ALDOC;ALDC	Fructose-bisphosphate aldolase C
P0C091	FREM3	FRAS1-related extracellular matrix protein 3
P0C0P6	NPS	Neuropeptide S
P0C0S8	HIST1H2AG;H2AFP;HIST1H2AI;H2AFC;HIST1H2AK;H2AFD;HIST1H2AL;H2AFI;HIST1H2AM;H2AFN	Histone H2A type 1
P0C671	C6orf222	Uncharacterized protein C6orf222
P0C6T2	OST4	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 4
P0C7P0	CISD3	CDGSH iron-sulfur domain-containing protein 3, mitochondrial
P0C7P4	UQCRFS1P1;UQCRFSL1	Putative cytochrome b-c1 complex subunit Rieske-like protein 1
P0CG38	POTEI	POTE ankyrin domain family member I
P0CG39	POTEJ	POTE ankyrin domain family member J
P0CG48	UBC	Polyubiquitin-C
P0CW22	RPS17L	40S ribosomal protein S17-like
P10071	GLI3	Transcriptional activator GLI3
P10113	RAP1A; KREV1	Ras-related protein Rap-1A
P10114	RAP2A	Ras-related protein Rap-2a
P10301	RRAS	Ras-related protein R-Ras
P10319	HLA-B;HLAB	HLA class I histocompatibility antigen, B-58 alpha chain
P10321	HLA-C;HLAC	HLA class I histocompatibility antigen, Cw-7 alpha chain
